order_id,region,category,sales,discount,quantity,order_date,delivery_date,customer_type,payment_mode,profit,city,New_Column,Net_Reveune,,,
ORD100018,West,Clothing,3964.23,0.28,9,06-05-2024,06-08-2024,Member,UPI,260.95,Bangalore,1109.9844,2854.2456,,,
ORD100019,East,Grocery,4974.32,0.48,3,05-01-2023,05-05-2023,Regular,Card,727.29,Delhi,2387.6736,2586.6464,,,
ORD100020,South,Home Care,4035.64,0.08,2,10/21/2024,10/28/2024,Regular,Cash,798.81,Delhi,322.8512,3712.7888,,,
ORD100021,North,Grocery,3319.36,0.33,2,8/15/2023,8/21/2023,Member,Cash,920.22,Bangalore,1095.3888,2223.9712,,,
ORD100022,South,Personal Care,4487.77,0.24,3,12/31/2024,01-02-2025,Regular,Card,931.37,Pune,1077.0648,3410.7052,,,
ORD100023,West,Electronics,4538.15,0.19,1,3/20/2023,3/23/2023,Regular,Cash,375.7,Delhi,862.2485,3675.9015,,,
ORD100024,West,Home Care,4868.52,0.4,2,12-12-2023,12/13/2023,Regular,Cash,1072.26,Mumbai,1947.408,2921.112,,,
ORD100025,South,Grocery,3904.68,0.41,6,5/20/2023,5/26/2023,Regular,Card,526.66,Hyderabad,1600.9188,2303.7612,,,
ORD100026,South,Clothing,1055.14,0.36,8,6/19/2024,6/25/2024,Member,UPI,207.61,Chennai,379.8504,675.2896,,,
ORD100027,South,Clothing,3578.05,0.04,4,10/16/2023,10/18/2023,New,Card,689.74,Mumbai,143.122,3434.928,,,
ORD100028,West,Home Care,468.13,0.17,2,11/25/2023,12-01-2023,Member,UPI,43.58,Hyderabad,79.5821,388.5479,,,
ORD100029,West,Clothing,1658.02,0.02,5,03-05-2024,03-06-2024,New,Cash,422.33,Delhi,33.1604,1624.8596,,,
ORD100030,North,Grocery,667.46,0.17,3,04-10-2023,4/15/2023,New,Card,123.49,Pune,113.4682,553.9918,,,
ORD100031,North,Grocery,4754.72,0.32,5,8/23/2024,8/27/2024,New,Cash,697.03,Chennai,1521.5104,3233.2096,,,
ORD100032,West,Clothing,1759.9,0.26,3,01-07-2023,1/13/2023,Regular,Cash,178.58,Delhi,457.574,1302.326,,,
ORD100033,South,Clothing,3594.76,0.35,4,6/20/2023,6/22/2023,New,UPI,1002.97,Delhi,1258.166,2336.594,,,
ORD100034,South,Personal Care,2899.46,0.28,5,9/20/2023,9/21/2023,Regular,Cash,320.43,Bangalore,811.8488,2087.6112,,,
ORD100035,North,Electronics,626.81,0.28,7,01-07-2024,01-12-2024,Regular,UPI,177.84,Mumbai,175.5068,451.3032,,,
ORD100036,West,Home Care,2850.59,0.26,2,6/27/2024,07-01-2024,Regular,Card,528.38,Chennai,741.1534,2109.4366,,,
ORD100037,North,Grocery,3339.02,0.18,6,12/25/2024,12/26/2024,Member,Cash,586.69,Hyderabad,601.0236,2737.9964,,,
ORD100038,North,Home Care,4419.43,0.22,6,05-11-2024,5/14/2024,New,UPI,742.22,Pune,972.2746,3447.1554,,,
ORD100039,East,Personal Care,443.42,0.06,6,2/28/2023,03-05-2023,Member,Card,119.91,Bangalore,26.6052,416.8148,,,
ORD100040,East,Grocery,1548.61,0.42,7,12-01-2023,12-03-2023,Regular,Cash,392.57,Pune,650.4162,898.1938,,,
ORD100041,East,Personal Care,3492.47,0.44,3,1/30/2023,1/31/2023,Member,Card,765.08,Mumbai,1536.6868,1955.7832,,,
ORD100042,South,Personal Care,268.23,0.38,5,9/17/2023,9/19/2023,Regular,Cash,48.54,Hyderabad,101.9274,166.3026,,,
ORD100043,West,Clothing,1097.41,0.29,9,6/29/2024,07-02-2024,Member,Cash,235.05,Mumbai,318.2489,779.1611,,,
ORD100044,West,Home Care,1171.48,0.28,9,5/17/2023,5/19/2023,Regular,Card,129.8,Chennai,328.0144,843.4656,,,
ORD100045,West,Home Care,3379.7,0.24,7,11-12-2023,11/17/2023,Regular,Cash,588.79,Chennai,811.128,2568.572,,,
ORD100046,West,Clothing,1501.21,0.12,9,04-04-2024,04-08-2024,Member,Card,127.89,Pune,180.1452,1321.0648,,,
ORD100047,East,Home Care,3038.02,0.19,3,02-12-2024,2/19/2024,Regular,Cash,249.34,Chennai,577.2238,2460.7962,,,
ORD100048,South,Clothing,4830.21,0.49,7,9/18/2024,9/25/2024,New,Cash,1097.26,Chennai,2366.8029,2463.4071,,,
ORD100049,South,Grocery,3986.89,0.07,1,07-02-2023,07-03-2023,Member,Cash,1139.21,Hyderabad,279.0823,3707.8077,,,
ORD100050,East,Personal Care,1731.22,0.27,7,09-04-2023,09-11-2023,Member,UPI,433.9,Bangalore,467.4294,1263.7906,,,
ORD100051,South,Personal Care,2414.76,0.43,3,1/29/2023,02-04-2023,Regular,Cash,687.58,Hyderabad,1038.3468,1376.4132,,,
ORD100052,East,Home Care,1083.3,0.23,3,11-06-2023,11-10-2023,Member,Cash,114.25,Mumbai,249.159,834.141,,,
ORD100053,West,Electronics,177.03,0.3,7,6/28/2023,6/29/2023,New,UPI,20.43,Hyderabad,53.109,123.921,,,
ORD100054,East,Personal Care,1519.61,0.41,8,5/19/2024,5/26/2024,Member,UPI,237.01,Delhi,623.0401,896.5699,,,
ORD100055,West,Clothing,1910.1,0.27,4,01-12-2024,1/14/2024,New,Cash,278.48,Pune,515.727,1394.373,,,
ORD100056,West,Electronics,2865.4,0.37,1,10-05-2023,10-07-2023,Member,Cash,356.81,Pune,1060.198,1805.202,,,
ORD100057,North,Electronics,4725.93,0.17,5,4/27/2024,05-04-2024,New,Cash,581.75,Chennai,803.4081,3922.5219,,,
ORD100058,East,Personal Care,4744.48,0.37,4,10-03-2023,10-08-2023,Member,Card,1320.22,Bangalore,1755.4576,2989.0224,,,
ORD100059,North,Personal Care,443.48,0.02,9,10/20/2023,10/22/2023,New,Card,42.23,Delhi,8.8696,434.6104,,,
ORD100060,East,Personal Care,3111.76,0.08,3,05-08-2023,05-11-2023,Regular,Card,835.81,Bangalore,248.9408,2862.8192,,,
ORD100061,East,Clothing,307.53,0.32,4,11-03-2023,11-08-2023,Member,Cash,54.58,Pune,98.4096,209.1204,,,
ORD100062,North,Electronics,3275.6,0.22,3,3/14/2023,3/15/2023,Member,Cash,922.83,Chennai,720.632,2554.968,,,
ORD100063,North,Home Care,676.75,0.41,3,01-08-2024,01-10-2024,New,Card,36.86,Mumbai,277.4675,399.2825,,,
ORD100064,East,Clothing,4737.37,0.17,7,12/26/2024,12/27/2024,Member,UPI,499.78,Bangalore,805.3529,3932.0171,,,
ORD100065,South,Grocery,4335.26,0.38,5,03-09-2024,03-11-2024,New,UPI,757.48,Delhi,1647.3988,2687.8612,,,
ORD100066,West,Personal Care,209.41,0.07,5,12/20/2024,12/25/2024,Regular,Cash,17.88,Pune,14.6587,194.7513,,,
ORD100067,North,Electronics,3932.45,0.47,4,03-03-2023,03-09-2023,New,Cash,408.02,Bangalore,1848.2515,2084.1985,,,
ORD100068,West,Clothing,3215.9,0.21,8,2/13/2023,2/16/2023,Member,Cash,542.06,Delhi,675.339,2540.561,,,
ORD100069,South,Grocery,2527.31,0.12,1,01-05-2024,01-06-2024,Regular,Card,611.45,Pune,303.2772,2224.0328,,,
ORD100070,South,Clothing,3052.91,0.39,9,06-06-2024,06-10-2024,New,Card,752,Delhi,1190.6349,1862.2751,,,
ORD100071,South,Clothing,3423.43,0.47,9,11/24/2024,11/26/2024,New,Card,698.02,Bangalore,1609.0121,1814.4179,,,
ORD100072,North,Home Care,4433.84,0.46,5,11/25/2024,11/30/2024,Regular,Cash,1229.3,Chennai,2039.5664,2394.2736,,,
ORD100073,South,Home Care,3860.05,0.12,1,03-02-2023,03-09-2023,Member,UPI,800.39,Bangalore,463.206,3396.844,,,
ORD100074,North,Clothing,2919.35,0.34,2,4/27/2024,4/28/2024,Member,Card,163.35,Chennai,992.579,1926.771,,,
ORD100075,South,Grocery,4140.62,0.27,2,6/29/2023,07-06-2023,Member,UPI,743.22,Bangalore,1117.9674,3022.6526,,,
ORD100076,West,Electronics,4935.92,0.36,6,9/26/2024,10-01-2024,Regular,UPI,1440.78,Delhi,1776.9312,3158.9888,,,
ORD100077,West,Electronics,1570.89,0.24,9,1/22/2023,1/23/2023,New,UPI,336.22,Delhi,377.0136,1193.8764,,,
ORD100078,East,Personal Care,680.26,0.23,3,5/29/2024,06-01-2024,Regular,UPI,151.09,Bangalore,156.4598,523.8002,,,
ORD100079,West,Personal Care,3684.1,0.44,8,12/16/2024,12/23/2024,New,UPI,289.32,Pune,1621.004,2063.096,,,
ORD100080,East,Electronics,4895.12,0.44,2,11/28/2024,12-04-2024,Regular,Card,684.94,Chennai,2153.8528,2741.2672,,,
ORD100081,West,Clothing,671.86,0.39,5,11/13/2024,11/15/2024,New,UPI,175.75,Hyderabad,262.0254,409.8346,,,
ORD100082,North,Clothing,2215.37,0.35,4,7/26/2024,08-02-2024,New,Cash,171.87,Mumbai,775.3795,1439.9905,,,
ORD100083,West,Home Care,405.11,0.34,5,12/15/2023,12/16/2023,Regular,Card,105.25,Hyderabad,137.7374,267.3726,,,
ORD100084,East,Home Care,3905.01,0.03,4,7/18/2024,7/25/2024,Regular,UPI,754.77,Hyderabad,117.1503,3787.8597,,,
ORD100085,East,Personal Care,4748.67,0.37,1,11-03-2024,11-07-2024,Regular,UPI,705.01,Pune,1757.0079,2991.6621,,,
ORD100086,South,Electronics,2545.07,0.32,1,08-12-2023,8/14/2023,New,Card,719.11,Delhi,814.4224,1730.6476,,,
ORD100087,North,Clothing,2106.65,0.15,6,6/20/2024,6/22/2024,Regular,UPI,120.84,Delhi,315.9975,1790.6525,,,
ORD100088,West,Electronics,4547.82,0.41,8,11-02-2023,11-07-2023,New,Cash,1281.1,Chennai,1864.6062,2683.2138,,,
ORD100089,South,Grocery,753.6,0.42,7,10/30/2023,11-01-2023,New,UPI,203.17,Mumbai,316.512,437.088,,,
ORD100090,West,Electronics,4468.76,0.47,4,9/25/2024,9/26/2024,Regular,Card,1325.93,Mumbai,2100.3172,2368.4428,,,
ORD100091,West,Grocery,2021.42,0.21,5,11/28/2024,12-01-2024,Member,Card,311.67,Hyderabad,424.4982,1596.9218,,,
ORD100092,South,Home Care,2841.09,0.28,8,12/22/2023,12/23/2023,Member,Card,469.27,Chennai,795.5052,2045.5848,,,
ORD100093,South,Home Care,2688.63,0.45,6,7/31/2024,08-06-2024,New,Cash,608.51,Mumbai,1209.8835,1478.7465,,,
ORD100094,South,Personal Care,3118.3,0.16,8,12/19/2024,12/21/2024,New,UPI,241.86,Bangalore,498.928,2619.372,,,
ORD100095,South,Electronics,4716.4,0.4,6,9/26/2023,9/30/2023,Member,Card,523.02,Delhi,1886.56,2829.84,,,
ORD100096,South,Electronics,4760.52,0.5,8,1/15/2023,1/21/2023,New,Cash,764.06,Hyderabad,2380.26,2380.26,,,
ORD100097,West,Grocery,4172.63,0.33,4,06-01-2024,06-05-2024,Member,Cash,957.31,Mumbai,1376.9679,2795.6621,,,
ORD100098,South,Home Care,1038.57,0.49,2,09-10-2023,9/16/2023,New,Card,180.83,Bangalore,508.8993,529.6707,,,
ORD100099,North,Grocery,1734.23,0.26,3,3/26/2023,3/27/2023,New,Card,186.24,Hyderabad,450.8998,1283.3302,,,
ORD100100,East,Home Care,2490.34,0.08,5,07-07-2024,07-08-2024,Regular,Cash,306.17,Hyderabad,199.2272,2291.1128,,,
ORD100101,South,Grocery,4536.76,0.09,4,12/30/2024,12/31/2024,Member,Card,1077.11,Bangalore,408.3084,4128.4516,,,
ORD100102,South,Home Care,2652.24,0.37,5,06-12-2023,6/13/2023,New,Card,666.98,Delhi,981.3288,1670.9112,,,
ORD100103,West,Grocery,4889.43,0,1,8/25/2023,09-01-2023,Member,Cash,777.62,Chennai,0,4889.43,,,
ORD100104,South,Home Care,4920.82,0.33,1,3/23/2023,3/28/2023,Regular,UPI,483.88,Mumbai,1623.8706,3296.9494,,,
ORD100105,South,Grocery,3033.06,0.08,2,08-12-2024,8/13/2024,Member,Card,587.57,Bangalore,242.6448,2790.4152,,,
ORD100106,South,Electronics,4399.73,0.49,2,02-06-2024,02-11-2024,New,Cash,660.08,Bangalore,2155.8677,2243.8623,,,
ORD100107,West,Personal Care,4996.19,0.08,8,5/28/2023,5/30/2023,Member,Card,1047.87,Hyderabad,399.6952,4596.4948,,,
ORD100108,South,Grocery,4263.61,0.28,4,03-12-2024,3/13/2024,Regular,Card,1092.43,Pune,1193.8108,3069.7992,,,
ORD100109,East,Personal Care,3318.86,0.33,6,09-12-2024,9/19/2024,Member,UPI,604.07,Hyderabad,1095.2238,2223.6362,,,
ORD100110,West,Electronics,4241.15,0.41,2,7/13/2024,7/14/2024,Member,Card,1168.31,Pune,1738.8715,2502.2785,,,
ORD100111,East,Electronics,505.01,0.23,1,06-04-2023,06-11-2023,Member,Card,71.8,Bangalore,116.1523,388.8577,,,
ORD100112,West,Home Care,3210.62,0.47,7,08-10-2024,8/14/2024,Member,Card,546.45,Chennai,1508.9914,1701.6286,,,
ORD100113,South,Personal Care,1160.96,0.24,4,05-09-2023,05-11-2023,New,Cash,223.68,Mumbai,278.6304,882.3296,,,
ORD100114,East,Clothing,668.71,0.13,4,4/29/2023,05-01-2023,Member,Card,153.62,Hyderabad,86.9323,581.7777,,,
ORD100115,West,Home Care,4475.07,0.3,2,9/27/2023,9/28/2023,Regular,Card,815.29,Delhi,1342.521,3132.549,,,
ORD100116,North,Personal Care,3234.26,0.33,9,2/20/2024,2/27/2024,Member,Cash,817.55,Mumbai,1067.3058,2166.9542,,,
ORD100117,South,Grocery,1293.38,0.25,2,01-10-2023,01-12-2023,Regular,Card,289.92,Chennai,323.345,970.035,,,
ORD100118,West,Grocery,1995.23,0.37,5,2/14/2024,2/17/2024,Regular,Card,274.36,Pune,738.2351,1256.9949,,,
ORD100119,North,Electronics,4869.06,0.21,6,08-11-2023,8/17/2023,Regular,Card,1022.41,Bangalore,1022.5026,3846.5574,,,
ORD100120,West,Clothing,4324.69,0,3,7/30/2024,08-03-2024,Regular,UPI,558.65,Chennai,0,4324.69,,,
ORD100121,North,Grocery,176.35,0.13,3,6/27/2023,6/29/2023,New,Cash,40.41,Pune,22.9255,153.4245,,,
ORD100122,South,Personal Care,4901.02,0.47,6,6/26/2023,6/29/2023,Member,Cash,1045.7,Pune,2303.4794,2597.5406,,,
ORD100123,East,Personal Care,1905.79,0.38,5,6/27/2024,07-04-2024,Member,Cash,179.78,Mumbai,724.2002,1181.5898,,,
ORD100124,North,Grocery,3507.55,0.09,5,7/30/2024,7/31/2024,New,UPI,789.67,Chennai,315.6795,3191.8705,,,
ORD100125,West,Personal Care,3592.12,0.03,5,1/26/2023,1/30/2023,Member,Cash,296.98,Mumbai,107.7636,3484.3564,,,
ORD100126,South,Personal Care,4567.25,0.18,9,7/16/2023,7/22/2023,New,Cash,333.34,Mumbai,822.105,3745.145,,,
ORD100127,North,Electronics,4436.8,0.42,8,2/14/2024,2/18/2024,Regular,Cash,934.84,Bangalore,1863.456,2573.344,,,
ORD100128,West,Clothing,1480.47,0.05,4,03-06-2023,03-10-2023,Member,Card,197.42,Chennai,74.0235,1406.4465,,,
ORD100129,West,Electronics,3253.32,0.27,6,4/22/2024,4/25/2024,Regular,UPI,293.4,Chennai,878.3964,2374.9236,,,
ORD100130,West,Clothing,2029.16,0.14,5,1/31/2024,02-05-2024,Member,Card,602.37,Hyderabad,284.0824,1745.0776,,,
ORD100131,North,Personal Care,2675.16,0.36,6,4/28/2024,05-02-2024,Member,Cash,715.56,Hyderabad,963.0576,1712.1024,,,
ORD100132,North,Clothing,2817.92,0,8,10/25/2024,10/28/2024,Member,Card,265.5,Pune,0,2817.92,,,
ORD100133,North,Personal Care,2042.08,0.14,6,07-02-2023,07-08-2023,Regular,Cash,583.83,Bangalore,285.8912,1756.1888,,,
ORD100134,East,Personal Care,2373.08,0.34,6,8/23/2024,8/30/2024,New,Card,478.2,Delhi,806.8472,1566.2328,,,
ORD100135,North,Electronics,1120.88,0.27,2,9/21/2023,9/26/2023,Regular,Card,201.73,Delhi,302.6376,818.2424,,,
ORD100136,North,Electronics,3077.47,0.39,7,12-01-2024,12-08-2024,New,UPI,428.41,Chennai,1200.2133,1877.2567,,,
ORD100137,North,Home Care,3818.9,0.08,3,1/27/2023,1/30/2023,Member,Cash,497.78,Chennai,305.512,3513.388,,,
ORD100138,East,Grocery,2205.73,0.27,7,09-08-2023,09-11-2023,Member,UPI,167.08,Bangalore,595.5471,1610.1829,,,
ORD100139,North,Home Care,4890.63,0.1,5,5/22/2024,5/25/2024,Member,Cash,466.35,Pune,489.063,4401.567,,,
ORD100140,West,Home Care,380.41,0.32,4,12-03-2024,12-07-2024,Member,Cash,44.61,Hyderabad,121.7312,258.6788,,,
ORD100141,North,Clothing,2986.89,0.07,1,05-08-2023,05-09-2023,Regular,Cash,699.11,Delhi,209.0823,2777.8077,,,
ORD100142,West,Personal Care,2959.64,0.07,8,2/20/2024,2/26/2024,New,Card,858.27,Mumbai,207.1748,2752.4652,,,
ORD100143,West,Personal Care,277.85,0.16,2,2/23/2024,2/27/2024,New,UPI,46.23,Mumbai,44.456,233.394,,,
ORD100144,West,Personal Care,1200.39,0.2,8,10/17/2024,10/23/2024,New,Cash,171.37,Mumbai,240.078,960.312,,,
ORD100145,East,Grocery,4537.16,0.25,7,2/24/2024,03-01-2024,Member,Cash,1201.33,Bangalore,1134.29,3402.87,,,
ORD100146,East,Clothing,2768.12,0.29,3,10/31/2024,11-04-2024,Regular,Card,609.51,Hyderabad,802.7548,1965.3652,,,
ORD100147,East,Clothing,2238.29,0.23,7,8/17/2023,8/21/2023,Member,Cash,248.9,Bangalore,514.8067,1723.4833,,,
ORD100148,North,Personal Care,2135.93,0.02,1,6/27/2024,07-01-2024,New,Cash,394.17,Chennai,42.7186,2093.2114,,,
ORD100149,West,Home Care,4451.99,0.17,5,3/20/2023,3/25/2023,Regular,Card,1205.9,Pune,756.8383,3695.1517,,,
ORD100150,East,Grocery,1898.45,0.03,2,2/25/2023,03-02-2023,Regular,Card,408.16,Hyderabad,56.9535,1841.4965,,,
ORD100151,East,Home Care,4309.92,0.06,2,2/23/2023,2/26/2023,Member,Card,617.32,Mumbai,258.5952,4051.3248,,,
ORD100152,North,Electronics,1615.04,0.05,3,2/18/2024,2/20/2024,Regular,UPI,253.65,Mumbai,80.752,1534.288,,,
ORD100153,East,Clothing,2704.37,0.08,7,4/17/2024,4/23/2024,Regular,UPI,742.76,Pune,216.3496,2488.0204,,,
ORD100154,North,Clothing,804.72,0.41,2,6/15/2024,6/17/2024,Regular,UPI,182.68,Chennai,329.9352,474.7848,,,
ORD100155,South,Home Care,4142.65,0.31,4,7/21/2023,7/22/2023,Member,Cash,735.37,Chennai,1284.2215,2858.4285,,,
ORD100156,East,Grocery,3706.28,0.25,4,08-11-2023,8/18/2023,Member,UPI,813.65,Hyderabad,926.57,2779.71,,,
ORD100157,South,Clothing,2697.46,0.37,1,05-09-2023,05-12-2023,Regular,Cash,597.1,Chennai,998.0602,1699.3998,,,
ORD100158,North,Home Care,226.92,0.48,7,11/26/2023,12-02-2023,Member,UPI,43.53,Pune,108.9216,117.9984,,,
ORD100159,West,Grocery,2458.16,0.21,4,10/19/2024,10/20/2024,Regular,Cash,508.56,Hyderabad,516.2136,1941.9464,,,
ORD100160,East,Home Care,1203.46,0.18,1,3/16/2024,3/21/2024,New,Cash,166.4,Hyderabad,216.6228,986.8372,,,
ORD100161,North,Grocery,2125.53,0.49,3,05-08-2023,05-12-2023,New,Card,292.08,Bangalore,1041.5097,1084.0203,,,
ORD100162,West,Personal Care,4296.49,0.39,8,5/21/2023,5/28/2023,Regular,UPI,579.12,Pune,1675.6311,2620.8589,,,
ORD100163,West,Grocery,3871.06,0.39,4,4/14/2024,4/21/2024,New,Card,230.99,Mumbai,1509.7134,2361.3466,,,
ORD100164,South,Electronics,1285.57,0.3,1,08-04-2024,08-05-2024,New,Cash,330.45,Chennai,385.671,899.899,,,
ORD100165,North,Personal Care,4926.27,0.25,7,06-10-2023,06-11-2023,New,Cash,440.26,Chennai,1231.5675,3694.7025,,,
ORD100166,West,Home Care,4525.73,0.28,8,3/24/2024,3/29/2024,Regular,UPI,332.86,Mumbai,1267.2044,3258.5256,,,
ORD100167,East,Personal Care,2690.5,0.33,5,5/29/2024,06-01-2024,Member,Cash,418.96,Delhi,887.865,1802.635,,,
ORD100168,East,Personal Care,2697.74,0.19,9,1/24/2024,1/28/2024,Regular,UPI,458.18,Pune,512.5706,2185.1694,,,
ORD100169,South,Home Care,4516.2,0.39,7,06-07-2024,6/14/2024,Regular,UPI,522.95,Mumbai,1761.318,2754.882,,,
ORD100170,West,Home Care,3217.11,0.45,4,10/16/2023,10/20/2023,Member,UPI,930.19,Delhi,1447.6995,1769.4105,,,
ORD100171,North,Electronics,2729.77,0.29,9,05-03-2024,05-06-2024,Regular,Card,250.2,Delhi,791.6333,1938.1367,,,
ORD100172,East,Home Care,3770.83,0.19,6,1/27/2023,02-02-2023,Regular,UPI,729.42,Hyderabad,716.4577,3054.3723,,,
ORD100173,West,Clothing,1251.98,0.35,8,01-04-2024,01-09-2024,Regular,UPI,253.73,Chennai,438.193,813.787,,,
ORD100174,West,Clothing,4404.05,0.09,2,1/13/2023,1/19/2023,New,UPI,941.87,Hyderabad,396.3645,4007.6855,,,
ORD100175,South,Electronics,2703.93,0.48,5,01-01-2024,01-06-2024,Regular,UPI,671.84,Pune,1297.8864,1406.0436,,,
ORD100176,East,Grocery,3057.15,0.33,3,05-03-2023,05-04-2023,Regular,UPI,814,Hyderabad,1008.8595,2048.2905,,,
ORD100177,East,Grocery,540.72,0.03,5,12/15/2024,12/17/2024,Member,Card,66.46,Delhi,16.2216,524.4984,,,
ORD100178,North,Clothing,1616.59,0.26,8,09-11-2023,9/18/2023,New,UPI,479.33,Bangalore,420.3134,1196.2766,,,
ORD100179,East,Home Care,2191,0.38,6,12/15/2024,12/17/2024,New,Cash,336.28,Chennai,832.58,1358.42,,,
ORD100180,North,Electronics,2128.16,0.14,1,11-06-2024,11-11-2024,Regular,Cash,523.61,Pune,297.9424,1830.2176,,,
ORD100181,East,Grocery,3913.59,0.03,7,12/27/2023,12/30/2023,New,UPI,235.73,Mumbai,117.4077,3796.1823,,,
ORD100182,South,Grocery,1483.38,0.24,1,07-05-2023,07-11-2023,New,UPI,350.59,Chennai,356.0112,1127.3688,,,
ORD100183,East,Personal Care,992.34,0.42,1,11/16/2023,11/19/2023,Member,UPI,255.64,Hyderabad,416.7828,575.5572,,,
ORD100184,North,Clothing,2954.82,0.13,4,03-09-2024,03-11-2024,Member,UPI,227.77,Chennai,384.1266,2570.6934,,,
ORD100185,North,Home Care,3113.57,0.36,9,9/25/2024,10-01-2024,New,UPI,393.92,Pune,1120.8852,1992.6848,,,
ORD100186,South,Electronics,695.76,0.2,8,11/21/2024,11/24/2024,Member,Cash,112.67,Bangalore,139.152,556.608,,,
ORD100187,East,Grocery,112.1,0.03,3,10-05-2024,10-08-2024,Regular,UPI,27.01,Delhi,3.363,108.737,,,
ORD100188,East,Personal Care,4596.48,0.15,6,10/27/2023,11-03-2023,Member,UPI,838.45,Pune,689.472,3907.008,,,
ORD100189,South,Clothing,490.22,0.16,1,6/13/2024,6/20/2024,Regular,UPI,101.89,Pune,78.4352,411.7848,,,
ORD100190,East,Clothing,4499.55,0.45,1,1/18/2023,1/24/2023,Member,Cash,639.71,Mumbai,2024.7975,2474.7525,,,
ORD100191,East,Electronics,2056.15,0.49,6,4/20/2024,4/24/2024,New,Cash,549.93,Mumbai,1007.5135,1048.6365,,,
ORD100192,North,Grocery,3299.97,0.1,5,01-06-2023,1/13/2023,Regular,UPI,467.32,Chennai,329.997,2969.973,,,
ORD100193,East,Electronics,1009.51,0.22,6,07-06-2023,07-12-2023,Member,Cash,170.18,Pune,222.0922,787.4178,,,
ORD100194,East,Electronics,4137.19,0.49,9,12-03-2024,12-06-2024,Member,UPI,664.13,Delhi,2027.2231,2109.9669,,,
ORD100195,South,Personal Care,982.95,0.2,5,02-12-2023,2/16/2023,Regular,Cash,242.2,Chennai,196.59,786.36,,,
ORD100196,South,Clothing,1993.89,0.17,2,09-07-2023,9/13/2023,Member,UPI,508.95,Delhi,338.9613,1654.9287,,,
ORD100197,West,Home Care,1266.33,0.05,1,7/16/2023,7/20/2023,New,Card,350.09,Chennai,63.3165,1203.0135,,,
ORD100198,North,Clothing,4203.78,0.38,2,7/22/2023,7/28/2023,Regular,Cash,451.8,Hyderabad,1597.4364,2606.3436,,,
ORD100199,East,Clothing,4305.85,0.22,8,07-08-2023,07-10-2023,New,Card,1195.98,Hyderabad,947.287,3358.563,,,
ORD100200,East,Personal Care,1922.94,0.32,1,4/17/2024,4/24/2024,Regular,Cash,235.46,Mumbai,615.3408,1307.5992,,,
ORD100201,West,Home Care,1606.15,0.25,6,9/30/2023,10-04-2023,Regular,Card,432.87,Pune,401.5375,1204.6125,,,
ORD100202,East,Grocery,3890.47,0.09,5,11/20/2024,11/25/2024,Regular,Cash,1028.18,Delhi,350.1423,3540.3277,,,
ORD100203,North,Home Care,4404.71,0.09,9,3/31/2023,04-01-2023,Regular,Cash,721,Delhi,396.4239,4008.2861,,,
